ALBERT BOXLER ALSACE PINOT GRIS RESERVE;2018;BO;22,5;2;UNITE;Verif CDT 
BINNER ALSACE RIESLING;2002;MG;60;1;UNITE;Verif CDT 
BINNER ALSACE TOKAY PINOT GRIS CUVEE DU BICENTENAIRE;1989;BO;60;1;UNITE;Verif CDT 
HAULLER ALSACE GEWURZTRAMINER SELECTION DE GRAINS NOBLES;2011;CL;20;2;UNITE;Verif CDT 
HAULLER ALSACE GEWURZTRAMINER SELECTION DE GRAINS NOBLES;2015;CL;20;2;UNITE;Verif CDT 
JOSMEYER ALSACE PINOT NOIR;2019;BO;22,5;2;UNITE;Verif CDT 
KUENTZ BAS ALSACETOKAY PINOT GRIS CUVEE CAROLINE RESERVE PERSONNELLE VENDANGES TARDIVES;1985;BO;60;1;UNITE;Verif CDT 
MARCEL DEISS ALSACE GEWURZTRAMINER VENDANGES TARDIVES;2015;BO;40;31;CBO12;Verif CDT 
MARCEL DEISS ALSACE GRUENSPIEL LE JEU DES VERTS;2013;BO;25;34;CBO12;Verif CDT 
MARCEL DEISS ALSACE LANGENBERG LA LONGUE COLLINE;2016;BO;32,5;16;CBO12;Verif CDT 
MARCEL DEISS ALSACE PINOT GRIS;2015;BO;17,5;12;UNITE;Verif CDT 
MARCEL DEISS ALSACE PINOT GRIS VENDANGES TARDIVES;2008;BO;30;11;UNITE;Verif CDT 
MARCEL DEISS ALSACE PINOT NOIR BURLENBERG LA COLLINE BRULEE;2016;BO;32,5;17;CBO12;Verif CDT 
MARCEL DEISS ALSACE RIESLING;2017;BO;17,5;63;CBO12;Verif CDT 
RENE MURE CLOS ST LANDELIN ALSACE SYLVANER CUVEE OSCAR;2009;BO;15;1;UNITE;Verif CDT 
TRAPET GEWURZTRAMINER BEBLENHEIM;2020;BO;15;9;UNITE;Verif CDT 
TRAPET RIESLING RIQUEWIHR;2019;BO;15;22;CBO12;Verif CDT 
TRAPET RIESLING SCHLOSSBERG;2015;BO;40;6;UNITE;Verif CDT 
TRIMBACH ALSACE RIESLING CLOS SAINTE HUNE;1993;BO;399;1;UNITE;Verif CDT 
TRIMBACH ALSACE RIESLING CLOS SAINTE HUNE;2005;BO;300;2;UNITE;Verif CDT 
TRIMBACH ALSACE RIESLING CLOS SAINTE HUNE;2006;BO;200;1;UNITE;Verif CDT 
TRIMBACH ALSACE RIESLING CLOS SAINTE HUNE;2016;BO;200;12;UNITE;Verif CDT 
TRIMBACH ALSACE RIESLING CUVEE FREDERIC EMILE;2001;BO;75;1;UNITE;Verif CDT 
TRIMBACH ALSACE RIESLING CUVEE FREDERIC EMILE;2005;BO;70;1;UNITE;Verif CDT 
TRIMBACH ALSACE RIESLING CUVEE FREDERIC EMILE;2005;BO;70;4;UNITE;Verif CDT 
WEINBACH ALSACE PINOT NOIR CLOS DES CAPUCINS;2019;BO;27,5;12;UNITE;Verif CDT 
WEINBACH ALSACE RIESLING CUVEE COLETTE;2019;BO;30;3;UNITE;Verif CDT 
