;"BORDEAUX BLENDS SASU
24, QUAI DES CHARTRONS
33000 BORDEAUX
Tel: +33 (0)5 57 00 87 07";;;;;;;;;;;;;;;
;"All Prices given EX-CELLAR BORDEAUX - Upon Final Confirmation of Availability
BORDEAUX BLENDS S/E ZIEGLER WS (Warehouse), 22 Rue Saint Exupéry, PA des LACS, Multi VI & VII 33290 Blanquefort, France";;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;Vin / Wine;Mill./Vintage;Appellation;Classement;Format;Condit. Packing;Quantité / Quantity; EXW Price ;WA;WS;JS;;;;;
;Château SAINT CHRISTOLY;2014;Médoc;Cru Bourgeois;75 cl;CT6 CRD;3000; 4,20 € ;;;;;;;;
;Château CARBONNIEUX Blanc;2007;Pessac-Léognan Blanc;;75 cl;OWC12;48; 25,00 € ;;;;;;;;
;Château CARBONNIEUX Rouge;2020;Pessac-Léognan Rouge;;75 cl;OWC;12; 21,60 € ;;;;;;;;
;Château CARLMAGNUS;2016;Fronsac;;75 cl;OWC12 ACQ;924; 9,00 € ;;;91-92;MP pour 120bts;;;;
;Château CARLMAGNUS;2017;Fronsac;;75 cl;OWC12 CRD;600; 8,75 € ;84-86;;89-90;90-92 Vinous (NM), 90 Markus del Monego;;;;
;Château CANTEMERLE;2020;Haut Médoc;;75 cl;OWC;102; 18,00 € ;;;;;;;;
;Château CARBONNIEUX;2020;Pessac-Léognan;;75 cl;OWC;6; 21,60 € ;;;;;;;;
;Château CLERC MILON;2015;Pauillac;Fifth Growth;150 cl;CB1 ACQ;4; 150,00 € ;;;;;;;;
;Château DUHART MILON;2011;Pauillac;Fourth Growth;75 cl;;600; 73,00 € ;;;;RFSE;;;;
;Château DUHART MILON;2016;Pauillac;Fourth Growth;75 cl;;600; 72,00 € ;;;;RFSE;;;;
;Château GRAND PUY LACOSTE;2018;Pauillac;Fifth Growth;75 cl;OWC;72; 55,00 € ;;;;;;;;
;Château LAFITE ROTHSCHILD;2019;Pauillac;First Growth;75 cl;;60; 790,00 € ;;;;RFSE;;;;
;Château JEAN FAURE;2018;Saint-Émilion Grand Cru;Grand Cru Classé;75 cl;OWC6 CRD;120; 23,00 € ;89-91;92-95;91-92;Le Point: 17 / Jeff Leve: 90-92 / Jeb Dunnuck: 93-95 / Vinous - AG: 87-89 / Anthocyanes: 94-96+ / B&D: 92 / Le Point: 17/20 / Yves Beck: 91-93 / Daniel Seriot: 94-96 / Vert de Vin: 94 / D: 93;;;;
;Château CAP SAINT GEORGE;2016;Saint-Georges Saint-Émilion;JP Janoueix;75 cl;OWC12 ACQ;288; 12,90 € ;;;;MP pour 60bts;;;;
;Château CAP SAINT GEORGE;2017;Saint-Georges Saint-Émilion;JP Janoueix;75 cl;OWC6 CRD;294; 12,30 € ;;;;MP pour 60bts;;;;
;Château LA CONFESSION;2016;Saint-Émilion Grand Cru;JP Janoueix;75 cl;OWC12 ACQ;144; 24,00 € ;;;;MP pour 60bts;;;;
;Château LA CONFESSION;2018;Saint-Émilion Grand Cru;JP Janoueix;75 cl;OWC6 CRD;300; 22,80 € ;;;92-93;92-94 Jeff LEVE - 92 Bettane Desseauve - 88-90 Vinous;;;;
;Château GISCOURS;2012;Margaux;Third Growth;75 cl;;360; 46,00 € ;;;;RFSE;;;;
;Château RAUZAN GASSIES;2016;Margaux;Second Growth;75 cl;;600; 48,00 € ;;;;;;;;
;Château ANGELUS;2014;Saint Emilion;First Growth A;75 cl;;120; 265,00 € ;;;;;;;;
;Château LA CROIX DE LABRIE;2019;Saint Emilion;;75 cl;OWC6;60; 57,00 € ;;;;;;;;
;"Château LA CROIX DE LABRIE ""Stella Solare""";2018;Bordeaux Blanc;;75 cl;OWC6;78; 18,00 € ;;;93-94;95/100 Vert de Vin;Exclu : Thailande, Birmanie, Cambodge, Philippines, Russie;;;
;Château LA CROIX ST GEORGE;2015;Pomerol;JP Janoueix;75 cl;OWC6 CRD;48; 42,00 € ;;;;Eur 39,90/bt pour la ligne complète;;;;
;Château LA CROIX ST GEORGE;2015;Pomerol;JP Janoueix;75 cl;OWC6 ACQ;18;;;;;;;;;
;Château LA CROIX ST GEORGE;2015;Pomerol;JP Janoueix;75 cl;OWC12 CRD;36;;;;;;;;;
;Château LA CROIX ST GEORGE;2017;Pomerol;JP Janoueix;75 cl;OWC;420; 33,50 € ;;;;MP pour 60bts;;;;
;Château LA CROIX ST GEORGE;2018;Pomerol;JP Janoueix;75 cl;OWC;540; 39,60 € ;;;92-93;94 Bettane & Dessauve - 88-91 Vinous - 91-93 Jeff Leve;;;;
;Château LA TOUR CARNET Blanc;2017;Bordeaux Blanc;;75 cl;OWC;12; 22,80 € ;;;;;;;;
;Château HAUT-BRION Rouge;2019;Pessac Léognan;First Growth;75 cl;;36; 535,00 € ;;;;RFSE;;;;
;Château LA TOUR MARTILLAC (RFSE) Blanc;2016;Pessac Léognan;;75 cl;OWC6;60; 25,00 € ;;;;;;;;
;Château LA TOUR MARTILLAC (RFSE) Rouge;2016;Pessac Léognan;;75 cl;OWC6;60; 27,50 € ;;;;;;;;
;Château LA VIOLETTE;1983;Pomerol;;75 cl;CT6;6; 63,00 € ;;;;Eur 60,00/bt pour la ligne complète;;;;
;Château LES ORMES DE PEZ;2018;Saint Estephe;;75 cl;OWC6 ACQ;12; 21,00 € ;;;;;;;;
;Château POUJEAUX;2020;Moulis;;75 cl;;60; 18,00 € ;;;;;;;;
;Château SMITH HAUT LAFITTE;2020;Pessac Léognan;;75 cl;OWC;18; 112,00 € ;;;;;;;;
;Château DUCRU BEAUCAILLOU;2019;Saint Julien;Domaines DELON;75 cl;;60; 180,00 € ;;;;RFSE;;;;
;Château LEOVILLE LAS CASES;2015;Saint Julien;Domaines DELON;75 cl;;120; 185,00 € ;;;;RFSE;;;;
;Château LEOVILLE LAS CASES;2017;Saint Julien;Domaines DELON;75 cl;;120; 155,00 € ;;;;RFSE;;;;
;Château LEOVILLE LAS CASES;2019;Saint Julien;Domaines DELON;75 cl;;36; 220,00 € ;;;;RFSE;;;;
;Château TERREY GROS CAILLOUX;2000;Saint Julien;;75 cl;OWC12;24; 19,90 € ;;;;;;;;
;Clos du MARQUIS;2018;Saint-Julien;Domaines DELON;75 cl;OWC6 Flat;84; 45,00 € ;;;94-95;94 WE, 92 JMQ, 91 Decanter;;;;
